controller,condition_group,shift_type,shift_intensity,rmse_mean,rmse_std,mae_mean,final_position_error_mean,heading_error_mean,success_rate,recovery_time_mean,control_smoothness_mean,control_energy_proxy_mean,robustness_score_mean,mean_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,mean_structure_gain,mean_disturbance_gain
adaptive_gru_uncertainty,hard_unseen_trajectory,disturbance_burst,mild,0.1142667184273402,0.04218872820255022,0.07784165069460869,0.013146267427752415,0.05416419977943102,1.0,0.34999990463256836,0.15933896601200104,1.5179164409637451,0.8925476952776897,0.23004685839017233,0.2767607420682907,0.20489322145779928,0.9503071308135986,0.9994927644729614,0.9503071308135986
adaptive_gru_uncertainty,hard_unseen_trajectory,disturbance_burst,severe,0.1652610351641973,0.0070273852495144505,0.10498627026875813,0.01587803103029728,0.0822349339723587,1.0,0.3500000635782878,0.16221380730470022,2.1123032569885254,0.8476863755157819,0.22009614606698355,0.2744702696800232,0.19081778824329376,0.9535939494768778,0.999789834022522,0.9535939494768778
adaptive_gru_uncertainty,hard_unseen_trajectory,friction_shift,medium,0.10157669583956401,0.030744413859374556,0.05988779539863268,0.016206962211678427,0.04254622136553129,1.0,0.35000014305114746,0.09319165845712025,0.9544512430826823,0.9036982333757481,0.17482422788937887,0.33293776710828143,0.08968616773684819,0.9887638688087463,0.9985179901123047,0.9887638688087463
adaptive_gru_uncertainty,hard_unseen_trajectory,friction_shift,mild,0.06379303708672523,0.011220238353059415,0.0376990574101607,0.013003235372404257,0.02783266206582387,1.0,0.34999998410542804,0.0947025790810585,1.074140469233195,0.9382384463167313,0.16813809176286063,0.3226558367411296,0.08493622516592343,0.9894253214200338,0.9987081487973531,0.9894253214200338
adaptive_gru_uncertainty,hard_unseen_trajectory,friction_shift,severe,0.12294964989026387,0.05317523542533369,0.06271125252048175,0.014058056132247051,0.03368842322379351,1.0,0.3500000635782878,0.09139482925335567,0.7976176341374716,0.8851472378098731,0.1567406008640925,0.2797354459762573,0.09051260848840077,0.9874120752016703,0.9994953274726868,0.9874120752016703
adaptive_gru_uncertainty,hard_unseen_trajectory,mass_shift,medium,0.11271850516398747,0.04111601354344726,0.0750749943157037,0.02560263282308976,0.07083963478604953,1.0,0.34999990463256836,0.12743544826904932,1.8228892087936401,0.8939043679870262,0.22263973454634348,0.35841896136601764,0.14952784279982248,0.9678195317586263,0.9971727728843689,0.9678195317586263
adaptive_gru_uncertainty,hard_unseen_trajectory,mass_shift,mild,0.1166982501745224,0.020362340162741435,0.0700499676167965,0.015178950037807226,0.05512526879707972,1.0,0.35000014305114746,0.11901365717252095,1.8034072120984395,0.8899762288922731,0.21269720792770386,0.3118707835674286,0.1592960705359777,0.9665394822756449,0.9982905387878418,0.9665394822756449
adaptive_gru_uncertainty,hard_unseen_trajectory,mass_shift,severe,0.17971310019493103,0.026686832578661574,0.1168039043744405,0.06096381073196729,0.08910730853676796,1.0,0.35000022252400714,0.13500136137008667,2.3821057875951133,0.8357074693475713,0.19423465927441916,0.3202654918034871,0.12637188533941904,0.9750091632207235,0.9980725844701132,0.9750091632207235
adaptive_gru_uncertainty,in_distribution_single_shift,actuator_delay,medium,0.09972517068187396,0.05471459326066769,0.06092061102390289,0.05337520574943887,0.04540769507487615,1.0,0.3500000105963813,0.11970528132385677,1.1482067389620676,0.9062708431358053,0.2522700180610021,0.2925649881362915,0.23057272616359922,0.9458972016970316,0.99928746620814,0.9458972016970316
adaptive_gru_uncertainty,in_distribution_single_shift,actuator_delay,mild,0.09520822929011451,0.047372644650087295,0.050205106329586774,0.026121574551022302,0.03876334014866087,1.0,0.34999995761447483,0.11056056287553576,0.7575318862994512,0.9100799107843174,0.2432524628109402,0.28743328319655526,0.21946279373433855,0.9458144572046068,0.9992549551857842,0.9458144572046068
adaptive_gru_uncertainty,in_distribution_single_shift,actuator_delay,severe,0.10190397583776051,0.053510066968162684,0.06561960693862703,0.05365904544790586,0.053537046536803246,1.0,0.34999995761447483,0.1404588595032692,0.8666531658834882,0.9042495701013777,0.21604665451579624,0.27413718899091083,0.18476713945468268,0.9590702388021681,0.9994653397136264,0.9590702388021681
adaptive_gru_uncertainty,in_distribution_single_shift,disturbance_burst,medium,0.14617399291859734,0.027236212776472174,0.10230655719836552,0.031885622845341764,0.07539503855837716,1.0,0.3499998516506619,0.13757409734858406,2.198061578803592,0.8642922698931265,0.2477866361538569,0.31838701499833,0.20977105614211825,0.9515500134891934,0.9984919097688463,0.9515500134891934
adaptive_gru_uncertainty,in_distribution_single_shift,disturbance_burst,mild,0.1257357108924124,0.025227219319552026,0.08931309564246072,0.025828792299661372,0.07329977386527592,1.0,0.3500000635782878,0.14071730275948843,2.115803291400274,0.8820967873682395,0.20700117780102623,0.2867581678761376,0.16405510157346725,0.9653486410776774,0.999485088719262,0.9653486410776774
adaptive_gru_uncertainty,in_distribution_single_shift,disturbance_burst,severe,0.16693726844257778,0.0259027797337423,0.10812557240327199,0.02915502378406624,0.09050694935851628,1.0,0.34999995761447483,0.12345238278309505,1.3533607456419203,0.8465025450527053,0.22473348511589897,0.29125790463553536,0.1889126416709688,0.9560710257954068,0.9992770883772109,0.9560710257954068
adaptive_gru_uncertainty,in_distribution_single_shift,friction_shift,medium,0.0970603662232558,0.05292761684891562,0.05895427304009596,0.036767324380990535,0.040755542202128306,1.0,0.35000014305114746,0.07241988347636329,0.902817588713434,0.9086154766531686,0.20350022614002228,0.3526654409037696,0.12318048750360806,0.9800832337803311,0.9970958431561788,0.9800832337803311
adaptive_gru_uncertainty,in_distribution_single_shift,friction_shift,mild,0.10052167251706123,0.05064544024789472,0.05400374407569567,0.026071028965007927,0.04580503101978037,1.0,0.3500000370873345,0.07223512811793222,0.927760106821855,0.9053789833136796,0.20149320860703787,0.3639046549797058,0.11404090291923946,0.9812944332758585,0.9971658719910516,0.9812944332758585
adaptive_gru_uncertainty,in_distribution_single_shift,friction_shift,severe,0.10819158289167616,0.05395668381452558,0.07028827836943997,0.06314195382098357,0.03789427628119787,1.0,0.34999995761447483,0.08337496096889178,1.5173706048064761,0.8986160472376297,0.19880363841851553,0.3745912147892846,0.10414879189597236,0.984170311027103,0.9957259429825677,0.984170311027103
adaptive_gru_uncertainty,in_distribution_single_shift,mass_shift,medium,0.12755612573689884,0.04636678651944903,0.08352476896511184,0.1172187224858337,0.07448267688353856,1.0,0.3500000635782878,0.12188032476438417,3.661415542165438,0.8810808798329546,0.23064010507530636,0.3833155466450585,0.1484302489293946,0.9736909137831794,0.995226608382331,0.9736909137831794
adaptive_gru_uncertainty,in_distribution_single_shift,mass_shift,mild,0.07946100417110655,0.03022168376778552,0.05049349491794904,0.03807910500715176,0.05051552504301071,1.0,0.34999995761447483,0.08913398037354152,1.338694390323427,0.9239891337976965,0.22850704193115234,0.3775303860505422,0.1482637176911036,0.9701434638765123,0.9962296750810411,0.9701434638765123
adaptive_gru_uncertainty,in_distribution_single_shift,mass_shift,severe,0.15427849690119425,0.0474415402074126,0.1100828924940692,0.13643190202613673,0.1053258263402515,1.0,0.34999990463256836,0.10812925712929831,3.338839206430647,0.8578740189712656,0.20610419743590885,0.40784266259935165,0.09747579942146938,0.9857586224873861,0.9944634702470567,0.9857586224873861
adaptive_mlp,compound_shift_ood,actuator_delay+disturbance_burst,medium,0.2072249882751041,0.034101067645750514,0.13453699151674905,0.04096626987059911,0.1377897502647506,1.0,0.350000090069241,0.17351621637741724,1.8555593755510118,0.813252094015879,0.0,0.0,0.0,1.0,1.0,1.0
adaptive_mlp,compound_shift_ood,actuator_delay+disturbance_burst,mild,0.1447387081053522,0.021388339052720293,0.09614084661006927,0.025882941567235522,0.10006408807304171,1.0,0.3500000105963813,0.1373819468749894,1.06986884938346,0.8654241124816573,0.0,0.0,0.0,1.0,1.0,1.0
adaptive_mlp,compound_shift_ood,actuator_delay+disturbance_burst,severe,0.25812047388818526,0.035888403103491846,0.1637080783645312,0.06499732989403936,0.19320502214961582,1.0,0.34999998410542804,0.1854252384768592,2.7770310507880316,0.7729389389995716,0.0,0.0,0.0,1.0,1.0,1.0
adaptive_mlp,compound_shift_ood,friction_shift+actuator_delay,medium,0.1068800220059024,0.05422626412011741,0.06193700060248375,0.03212035012741884,0.046982929524448186,1.0,0.3500000635782878,0.09110402150286569,1.0601991812388103,0.8997939700448825,0.0,0.0,0.0,1.0,1.0,1.0
