episode_id,controller,trajectory_kind,shift_type,shift_intensity,shift_time,unseen,rmse,mae,final_position_error,heading_error,success,recovery_time,control_smoothness,control_energy_proxy,peak_error_after_shift,mean_error_after_shift,robustness_score
eval_2024_mass_shift_medium_03,adaptive,sinusoid,mass_shift,medium,7.97905704271211,0,0.13802295923233032,0.06241457909345627,0.022576954215765,0.05029619485139847,1.0,0.35000038146972656,0.061686571687459946,0.1851203590631485,0.044750913977622986,0.028524689376354218,0.8710786922181397
eval_2024_mass_shift_severe_00,baseline,figure8,mass_shift,severe,6.776865092562028,1,0.18403080105781555,0.13408878445625305,0.32297277450561523,0.08396250009536743,1.0,0.34999990463256836,0.0625094473361969,1.1775236129760742,0.38623741269111633,0.2071504294872284,0.8319101797185061
eval_2024_mass_shift_severe_00,adaptive,figure8,mass_shift,severe,6.776865092562028,1,0.14083316922187805,0.10577626526355743,0.2159653902053833,0.06735987961292267,1.0,0.34999990463256836,0.0675673559308052,1.2024571895599365,0.2573377788066864,0.14212104678153992,0.8686342145321192
eval_2024_mass_shift_severe_01,baseline,lane_change,mass_shift,severe,7.6324732113878495,0,0.12047877162694931,0.07867548614740372,0.04600346460938454,0.10387340188026428,1.0,0.34999990463256836,0.05876263231039047,0.31913870573043823,0.2350917011499405,0.11846213787794113,0.8864959060114335
eval_2024_mass_shift_severe_01,adaptive,lane_change,mass_shift,severe,7.6324732113878495,0,0.10077999532222748,0.06593518704175949,0.04197177663445473,0.08826252073049545,1.0,0.34999990463256836,0.07051172107458115,0.32932618260383606,0.15478010475635529,0.07617861777544022,0.9041319242592061
eval_2024_mass_shift_severe_02,baseline,figure8,mass_shift,severe,6.462831404961143,0,0.257920503616333,0.17864477634429932,0.5851454734802246,0.1617690920829773,0.0,0.34999990463256836,0.0786202996969223,2.376654863357544,0.5851454734802246,0.31537681818008423,0.4635939918451554
eval_2024_mass_shift_severe_02,adaptive,figure8,mass_shift,severe,6.462831404961143,0,0.17857219278812408,0.12753826379776,0.42951473593711853,0.11808844655752182,0.0,0.34999990463256836,0.08318915963172913,2.410893440246582,0.42951473593711853,0.21213775873184204,0.5018782008319432
eval_2024_mass_shift_severe_03,baseline,figure8,mass_shift,severe,6.110827173946726,0,0.39959976077079773,0.2616673409938812,0.39605265855789185,0.2025957554578781,0.0,0.34999990463256836,0.11686097830533981,5.477076053619385,0.9930070042610168,0.49091553688049316,0.4023530328666684
eval_2024_mass_shift_severe_03,adaptive,figure8,mass_shift,severe,6.110827173946726,0,0.26594898104667664,0.18148952722549438,0.3744150996208191,0.15404708683490753,0.0,0.34999990463256836,0.12650133669376373,6.092968940734863,0.6725397706031799,0.3210410177707672,0.45988693885236137
eval_2024_actuator_delay_mild_00,baseline,spline,actuator_delay,mild,5.066012913904611,1,0.08669571578502655,0.04585837200284004,0.020829161629080772,0.0704907700419426,1.0,0.35000038146972656,0.05433487519621849,0.1794600784778595,0.03207603096961975,0.023568423464894295,0.9169560684449402
